filename,tactic,grid_width,hide_strategy,swarm_size,n_hider_candidates,n_hiders,runs,steps_min,steps_max,steps_mean,steps_var,steps_ci_lower,steps_ci_upper,steps_half_width,taken_down_min,taken_down_max,taken_down_mean,taken_down_var,taken_down_ci_lower,taken_down_ci_upper,taken_down_half_width,area_covered_min,area_covered_max,area_covered_mean,area_covered_var,area_covered_ci_lower,area_covered_ci_upper,area_covered_half_width,mean_distance_travelled_min,mean_distance_travelled_max,mean_distance_travelled_mean,mean_distance_travelled_var,mean_distance_travelled_ci_lower,mean_distance_travelled_ci_upper,mean_distance_travelled_half_width,total_distance_covered_min,total_distance_covered_max,total_distance_covered_mean,total_distance_covered_var,total_distance_covered_ci_lower,total_distance_covered_ci_upper,total_distance_covered_half_width,hider_frac_found_min,hider_frac_found_max,hider_frac_found_mean,hider_frac_found_var,hider_frac_found_ci_lower,hider_frac_found_ci_upper,hider_frac_found_half_width,all_found_mean,all_found_ci_lower,all_found_ci_upper
T-discounted_distance-W-20-HS-greedy-D-1-C-5-H-1-RUNS-100000.csv,discounted_distance,20,greedy,1,5,1,100000,1.0,71.0,20.003,135.80975099999998,19.930769345881295,20.075230654118705,0.07223065411870522,0.0,1.0,0.91901,0.0744306199,0.9173190456262577,0.9207009543737423,0.0016909543737423371,0.0,0.175,0.044921550000000005,0.0008389330955975001,0.044742027149642524,0.045101072850357485,0.00017952285035748028,0.0,70.0,18.12084,138.0779576944,18.048008668673518,18.193671331326485,0.07283133132648345,0.0,70.0,18.12084,138.0779576944,18.048008668673518,18.193671331326485,0.07283133132648345,0.0,1.0,0.03685,0.0354920775,0.035682325537985865,0.03801767446201414,0.0011676744620141358,0.03685,0.03569079625972085,0.038036165319149426
T-discounted_distance-W-20-HS-greedy-D-1-C-5-H-2-RUNS-100000.csv,discounted_distance,20,greedy,1,5,2,100000,2.0,71.0,20.48444,141.6889378864,20.410662481487623,20.558217518512375,0.0737775185123759,0.0,1.0,0.9336,0.061991040000000004,0.9320568059769945,0.9351431940230055,0.001543194023005512,0.0,0.1725,0.046010025,0.000879134411999375,0.04582625115101335,0.04619379884898665,0.00018377384898665,0.0,70.0,18.568,144.88775600000002,18.4933943163392,18.642605683660804,0.07460568366080267,0.0,70.0,18.568,144.88775600000002,18.4933943163392,18.642605683660804,0.07460568366080267,0.0,1.0,0.13678,0.0582612316,0.13528395071165902,0.138276049288341,0.0014960492883409893,0.01716,0.016364115638070893,0.01798406332609658
T-discounted_distance-W-20-HS-greedy-D-1-C-5-H-3-RUNS-100000.csv,discounted_distance,20,greedy,1,5,3,100000,2.0,74.0,20.62966,144.8145882844,20.55507315649839,20.70424684350161,0.07458684350160993,0.0,1.0,0.9368,0.05920576000000001,0.9352918725265549,0.938308127473445,0.0015081274734450867,0.0,0.1825,0.04634352499999999,0.0008991493780743748,0.046157670964509484,0.046529379035490495,0.00018585403549050555,0.0,73.0,18.70171,148.1181330759,18.626277207394637,18.77714279260536,0.07543279260536195,0.0,73.0,18.70171,148.1181330759,18.626277207394637,18.77714279260536,0.07543279260536195,0.0,1.0,0.17498666666666665,0.059359666488888886,0.17347658026257012,0.17649675307076318,0.0015100864040965278,0.00885,0.008278797590464864,0.0094499562071905
T-discounted_distance-W-20-HS-greedy-D-1-C-5-H-4-RUNS-100000.csv,discounted_distance,20,greedy,1,5,4,100000,2.0,71.0,20.76541,148.5996375319,20.689854697899978,20.84096530210002,0.07555530210002104,0.0,1.0,0.93702,0.05901351960000001,0.9355143229533018,0.9385256770466981,0.0015056770466981284,0.0,0.175,0.046660975,0.000922486474549375,0.04647272452747393,0.04684922547252607,0.0001882504725260678,0.0,70.0,18.83184,151.9428222144,18.755439506165285,18.908240493834715,0.07640049383471492,0.0,70.0,18.83184,151.9428222144,18.755439506165285,18.908240493834715,0.07640049383471492,0.0,1.0,0.1975225,0.05932548699375,0.19601284841491426,0.19903215158508572,0.0015096515850857306,0.00345,0.0030960486368097097,0.003833214984549162
T-discounted_distance-W-20-HS-greedy-D-1-C-5-H-5-RUNS-100000.csv,discounted_distance,20,greedy,1,5,5,100000,2.0,71.0,20.73807,149.1642426751,20.662371297589676,20.813768702410325,0.07569870241032461,0.0,1.0,0.93814,0.05803334039999999,0.9366468795076062,0.9396331204923938,0.0014931204923938068,0.0,0.175,0.046582349999999995,0.0009244924184774999,0.046393894963590164,0.046770805036409825,0.00018845503640983058,0.0,70.0,18.79998,152.39847199960002,18.723465036101842,18.87649496389816,0.07651496389815904,0.0,70.0,18.79998,152.39847199960002,18.723465036101842,18.87649496389816,0.07651496389815904,0.0,1.0,0.210836,0.058764981104,0.2093334969171109,0.2123385030828891,0.0015025030828891006,5e-05,1.6235056816854704e-05,0.00011667943008112559
T-discounted_distance-W-20-HS-greedy-D-10-C-5-H-1-RUNS-100000.csv,discounted_distance,20,greedy,10,5,1,100000,1.0,75.0,29.8271,203.68052559,29.73864328136843,29.915556718631574,0.08845671863157278,3.0,10.0,9.17822,0.9986976315999999,9.17202597318253,9.18441402681747,0.006194026817469833,0.0,0.1825,0.07064625,0.0012143648609375,0.07043026148063432,0.07086223851936567,0.00021598851936567576,0.0,54.7,18.132286999999998,62.673527649631,18.083219024311283,18.181354975688713,0.04906797568871468,0.0,547.0,181.32287,6267.3527649631,180.83219024311285,181.81354975688714,0.4906797568871468,0.0,1.0,0.28208,0.2025108736,0.2792907962211022,0.2848692037788978,0.0027892037788977975,0.28208,0.2792921993048371,0.28488044504149285
T-discounted_distance-W-20-HS-greedy-D-10-C-5-H-2-RUNS-100000.csv,discounted_distance,20,greedy,10,5,2,100000,2.0,74.0,33.11779,168.92997551589997,33.03723185988108,33.19834814011892,0.08055814011891727,3.0,10.0,9.32713,0.9254559630999999,9.32116742368783,9.33309257631217,0.005962576312169787,0.0,0.1775,0.078123075,0.001055019965044375,0.07792175523699313,0.07832439476300687,0.00020131976300687138,0.0,52.1,18.56733,59.0805582711,18.51968927449605,18.614970725503948,0.04764072550394971,0.0,521.0,185.6733,5908.05582711,185.19689274496054,186.1497072550395,0.4764072550394758,0.0,1.0,0.450375,0.09613985937500001,0.44845320166569175,0.4522967983343083,0.0019217983343082778,0.14758,0.14538693478349518,0.1497935266569103
T-discounted_distance-W-20-HS-greedy-D-10-C-5-H-3-RUNS-100000.csv,discounted_distance,20,greedy,10,5,3,100000,2.0,75.0,34.28874,167.61250921239997,34.208496606789694,34.3689833932103,0.08024339321030283,3.0,10.0,9.37284,0.9010103344,9.366956700500033,9.378723299499967,0.00588329949996691,0.0,0.1825,0.08071674999999999,0.0010635477694375,0.0805146182332964,0.08091888176670357,0.0002021317667035838,0.0,53.9,18.657583,58.463850698111,18.610191573682375,18.704974426317623,0.04739142631762405,0.0,539.0,186.57583,5846.3850698111,186.10191573682377,187.04974426317622,0.4739142631762263,0.0,1.0,0.5060633333333333,0.07241656932222222,0.5043954139926329,0.5077312526740337,0.00166791934070043,0.0756,0.07396885374603095,0.07725581210421124
T-discounted_distance-W-20-HS-greedy-D-10-C-5-H-4-RUNS-100000.csv,discounted_distance,20,greedy,10,5,4,100000,2.0,76.0,35.02149,170.2485081799,34.94061808466322,35.10236191533678,0.08087191533677895,3.0,10.0,9.37547,0.9120122791000002,9.369550889955923,9.381389110044077,0.005919110044077414,0.0,0.1875,0.0823852,0.00108538107096,0.08218100401761544,0.08258939598238457,0.00020419598238456682,0.0,51.6,18.785484999999998,58.037137814775,18.738266839443995,18.832703160556,0.04721816055600314,0.0,516.0,187.85485,5803.713781477501,187.38266839443997,188.32703160556002,0.4721816055600243,0.0,1.0,0.5406125,0.06305499984375001,0.539056119302999,0.5421688806970011,0.0015563806970010363,0.03315,0.032048949523427406,0.034278235439665475
T-discounted_distance-W-20-HS-greedy-D-10-C-5-H-5-RUNS-100000.csv,discounted_distance,20,greedy,10,5,5,100000,2.0,73.0,35.26861,175.4684586679,35.1865076473651,35.35071235263491,0.08210235263490517,3.0,10.0,9.38066,0.9036979644,9.374767932366275,9.386552067633726,0.005892067633725517,0.0,0.18,0.08291865,0.0011191321071774998,0.082711303480788,0.08312599651921199,0.00020734651921199,0.0,56.2,18.785694,58.268767738364005,18.738381707924503,18.833006292075495,0.04731229207549603,0.0,562.0,187.85694,5826.8767738364,187.38381707924506,188.33006292075495,0.4731229207549461,0.0,1.0,0.560072,0.05922575481600001,0.558563617887599,0.561580382112401,0.0015083821124010077,0.00114,0.0009404486185017639,0.001369331063663593
T-discounted_distance-W-20-HS-greedy-D-5-C-5-H-1-RUNS-100000.csv,discounted_distance,20,greedy,5,5,1,100000,1.0,74.0,28.3821,185.17205958999998,28.29775801851267,28.466441981487332,0.08434198148733074,0.0,5.0,4.58848,0.4296112896,4.584417494947538,4.592542505052461,0.004062505052461418,0.0,0.1775,0.06636237499999999,0.001125451621859375,0.06615444388278723,0.06657030611721275,0.0002079311172127618,0.0,56.2,18.207962,71.585201006556,18.155521394722523,18.260402605277473,0.05244060527747507,0.0,281.0,91.03981,1789.6300251639,90.77760697361263,91.30201302638737,0.26220302638736825,0.0,1.0,0.16381,0.1369762839,0.16151607739400337,0.16610392260599666,0.0022939226059966455,0.16381,0.16152089351338275,0.16611862317425813
T-discounted_distance-W-20-HS-greedy-D-5-C-5-H-2-RUNS-100000.csv,discounted_distance,20,greedy,5,5,2,100000,2.0,76.0,30.21734,169.8916433244,30.136552888590135,30.298127111409865,0.08078711140986528,0.0,5.0,4.66404,0.3802708783999999,4.660217895074097,4.667862104925903,0.0038221049259030693,0.0,0.1875,0.07049965,0.0010641439748775,0.07029746158554731,0.07070183841445268,0.00020218841445268643,0.0,62.0,18.562956,68.346611742064,18.51171535756957,18.61419664243043,0.05124064243042881,0.0,310.0,92.81478,1708.6652935516,92.55857678784785,93.07098321215214,0.25620321215214403,0.0,1.0,0.34872,0.09331436159999999,0.3468266525635199,0.35061334743648004,0.001893347436480064,0.08112,0.07943500559365094,0.08282933633228387
T-discounted_distance-W-20-HS-greedy-D-5-C-5-H-3-RUNS-100000.csv,discounted_distance,20,greedy,5,5,3,100000,2.0,73.0,30.97523,173.4920564471,30.893591339792522,31.056868660207478,0.0816386602074779,0.0,5.0,4.68108,0.36877003360000005,4.677316136345352,4.684843863654647,0.003763863654647537,0.0,0.18,0.07221517499999999,0.0010950331872193748,0.07201007308650277,0.07242027691349721,0.0002051019134972215,0.0,57.8,18.728664,68.33941597510402,18.67742605503633,18.779901944963665,0.05123794496366685,0.0,289.0,93.64332,1708.4853993776,93.38713027518168,93.89950972481833,0.25618972481832714,0.0,1.0,0.41369666666666666,0.07746951243333335,0.41197153803678455,0.41542179529654877,0.0017251286298821111,0.04196,0.040725625361014414,0.04322102969205268
T-discounted_distance-W-20-HS-greedy-D-5-C-5-H-4-RUNS-100000.csv,discounted_distance,20,greedy,5,5,4,100000,2.0,76.0,31.15997,177.75611959909997,31.077334177921927,31.242605822078076,0.08263582207807474,0.0,5.0,4.69176,0.3593281024,4.688044633479481,4.69547536652052,0.003715366520519403,0.0,0.185,0.072561175,0.001122409195119375,0.07235352512246644,0.07276882487753357,0.0002076498775335639,0.0,57.6,18.688464,68.200741320704,18.637278067571486,18.739649932428513,0.051185932428513325,0.0,288.0,93.44232,1705.0185330175998,93.18639033785743,93.69824966214256,0.2559296621425631,0.0,1.0,0.4469575,0.06939586819375,0.445324738023308,0.448590261976692,0.0016327619766919876,0.01831,0.017488034221288376,0.01916007047154718
T-discounted_distance-W-20-HS-greedy-D-5-C-5-H-5-RUNS-100000.csv,discounted_distance,20,greedy,5,5,5,100000,2.0,74.0,31.35637,181.2991704231,31.27291468901877,31.439825310981227,0.08345531098122905,0.0,5.0,4.68945,0.36334869750000004,4.685713905305916,4.6931860946940835,0.003736094694083647,0.0,0.18,0.073016,0.001145037619,0.07280626739602174,0.07322573260397826,0.00020973260397826043,0.0,56.2,18.781124,68.774078896624,18.7297233675633,18.832524632436698,0.05140063243669957,0.0,281.0,93.90562,1719.3519724156001,93.6486168378165,94.1626231621835,0.2570031621834943,0.0,1.0,0.46833800000000003,0.065594317756,0.46675058974713074,0.4699254102528693,0.0015874102528692924,0.0005,0.00037113170178527005,0.0006591351958566027
T-discounted_distance-W-20-HS-random-D-1-C-5-H-1-RUNS-100000.csv,discounted_distance,20,random,1,5,1,100000,1.0,67.0,17.51563,101.6128757031,17.453151521841438,17.578108478158565,0.06247847815856389,0.0,1.0,0.77906,0.17212551639999998,0.7764885463570147,0.7816314536429853,0.0025714536429852775,0.0,0.165,0.039592425,0.000626907820119375,0.039437237079021255,0.039747612920978746,0.00015518792097874573,0.0,66.0,15.94554,103.0086941084,15.882633863631055,16.008446136368946,0.06290613636894626,0.0,66.0,15.94554,103.0086941084,15.882633863631055,16.008446136368946,0.06290613636894626,0.0,1.0,0.20897,0.1653015391,0.2064500349355466,0.2114899650644534,0.0025199650644534,0.20897,0.20645354884127595,0.2115033418313189
T-discounted_distance-W-20-HS-random-D-1-C-5-H-2-RUNS-100000.csv,discounted_distance,20,random,1,5,2,100000,2.0,74.0,19.82775,124.0413999375,19.758719757207448,19.896780242792556,0.06903024279255376,0.0,1.0,0.89717,0.09225599110000003,0.8952874203458824,0.8990525796541177,0.0018825796541176443,0.0,0.18,0.044658725,0.0007800400938743749,0.044485618038134576,0.04483183196186543,0.00017310696186542684,0.0,73.0,18.00763,128.1828317831,17.937456845120234,18.077803154879764,0.07017315487976461,0.0,73.0,18.00763,128.1828317831,17.937456845120234,18.077803154879764,0.07017315487976461,0.0,1.0,0.212065,0.09958593577499998,0.21010906203862895,0.21402093796137106,0.001955937961371057,0.07705,0.07540447136406646,0.07872010935558271
T-discounted_distance-W-20-HS-random-D-1-C-5-H-3-RUNS-100000.csv,discounted_distance,20,random,1,5,3,100000,2.0,71.0,20.42616,137.17962765439998,20.353565974240496,20.498754025759503,0.07259402575950347,0.0,1.0,0.92976,0.0653063424,0.9281760781428245,0.9313439218571755,0.0015839218571754854,0.0,0.1725,0.045920525000000004,0.000855950321224375,0.04573919053681069,0.046101859463189315,0.00018133446318931157,0.0,70.0,18.52964,141.07164147039998,18.456023370229772,18.60325662977023,0.07361662977022831,0.0,70.0,18.52964,141.07164147039998,18.456023370229772,18.60325662977023,0.07361662977022831,0.0,1.0,0.21136666666666665,0.07677302111111112,0.20964931044881188,0.2130840228845214,0.0017173562178547652,0.03324,0.03213749338035371,0.03436968613213973
T-discounted_distance-W-20-HS-random-D-1-C-5-H-4-RUNS-100000.csv,discounted_distance,20,random,1,5,4,100000,2.0,72.0,20.62925,145.3423544375,20.554527366962404,20.703972633037594,0.07472263303759519,0.0,1.0,0.93748,0.05861124960000001,0.9359794635077301,0.9389805364922699,0.0015005364922698883,0.0,0.1775,0.046343100000000005,0.00090344808239,0.0461568022234886,0.04652939777651141,0.00018629777651140572,0.0,71.0,18.70425,148.8781419375,18.628623928432905,18.77987607156709,0.07562607156709333,0.0,71.0,18.70425,148.8781419375,18.628623928432905,18.77987607156709,0.07562607156709333,0.0,1.0,0.2111625,0.06577977359375,0.20957284727617084,0.21275215272382916,0.0015896527238291602,0.01248,0.011801104804832903,0.013187386496524393
