filename,tactic,grid_width,hide_strategy,swarm_size,n_hider_candidates,n_hiders,runs,steps_min,steps_max,steps_mean,steps_var,steps_ci_lower,steps_ci_upper,steps_half_width,taken_down_min,taken_down_max,taken_down_mean,taken_down_var,taken_down_ci_lower,taken_down_ci_upper,taken_down_half_width,area_covered_min,area_covered_max,area_covered_mean,area_covered_var,area_covered_ci_lower,area_covered_ci_upper,area_covered_half_width,mean_distance_travelled_min,mean_distance_travelled_max,mean_distance_travelled_mean,mean_distance_travelled_var,mean_distance_travelled_ci_lower,mean_distance_travelled_ci_upper,mean_distance_travelled_half_width,total_distance_covered_min,total_distance_covered_max,total_distance_covered_mean,total_distance_covered_var,total_distance_covered_ci_lower,total_distance_covered_ci_upper,total_distance_covered_half_width,hider_frac_found_min,hider_frac_found_max,hider_frac_found_mean,hider_frac_found_var,hider_frac_found_ci_lower,hider_frac_found_ci_upper,hider_frac_found_half_width,all_found_mean,all_found_ci_lower,all_found_ci_upper
T-discounted_distance-W-20-HS-greedy-D-1-C-5-H-1-RUNS-100000.csv,discounted_distance,20,greedy,1,5,1,100000,1.0,79.0,22.31268,174.59161121760005,22.23078304440008,22.39457695559992,0.08189695559991961,0.0,1.0,0.9224,0.07157824,0.9207417630845263,0.9240582369154737,0.001658236915473732,0.0,0.195,0.050519549999999996,0.0010618425677975001,0.05031758033870279,0.050721519661297204,0.00020196966129720773,0.0,78.0,20.43173,176.5084792071,20.349384692075265,20.514075307924738,0.08234530792473649,0.0,78.0,20.43173,176.5084792071,20.349384692075265,20.514075307924738,0.08234530792473649,0.0,1.0,0.04145,0.03973189750000001,0.040214548433017305,0.042685451566982696,0.0012354515669826954,0.04145,0.040222886578981105,0.042703798980556935
T-discounted_distance-W-20-HS-greedy-D-1-C-5-H-2-RUNS-100000.csv,discounted_distance,20,greedy,1,5,2,100000,2.0,88.0,22.94766,183.3157805244,22.86374183137946,23.031578168620538,0.08391816862053858,0.0,1.0,0.9423,0.054370709999999996,0.9408547646574486,0.9437452353425515,0.0014452353425514763,0.0,0.215,0.051930849999999994,0.0011180358182774999,0.051723605062800194,0.05213809493719979,0.0002072449371997992,0.0,87.0,21.01497,186.24902589910002,20.930383106340642,21.09955689365936,0.08458689365935967,0.0,87.0,21.01497,186.24902589910002,20.930383106340642,21.09955689365936,0.08458689365935967,0.0,1.0,0.082205,0.03914983797500001,0.08097863130517466,0.08343136869482534,0.0012263686948253416,0.00961,0.009014594221455924,0.010234102232165294
T-discounted_distance-W-20-HS-greedy-D-1-C-5-H-3-RUNS-100000.csv,discounted_distance,20,greedy,1,5,3,100000,2.0,92.0,23.04157,185.7379419351,22.957099243063777,23.126040756936224,0.08447075693622352,0.0,1.0,0.94423,0.052659707099999994,0.942807686635107,0.9456523133648931,0.0014223133648930686,0.0,0.2275,0.05213835,0.0011323615842774998,0.05192978153972471,0.05234691846027529,0.00020856846027528936,0.0,91.0,21.10107,188.66737485509998,21.01593571858274,21.18620428141726,0.08513428141726109,0.0,91.0,21.10107,188.66737485509998,21.01593571858274,21.18620428141726,0.08513428141726109,0.0,1.0,0.13713666666666663,0.04673464576666665,0.1357967569115815,0.13847657642175176,0.0013399097550851335,0.00373,0.0033616306774608387,0.004127596762106227
T-discounted_distance-W-20-HS-greedy-D-1-C-5-H-4-RUNS-100000.csv,discounted_distance,20,greedy,1,5,4,100000,2.0,80.0,23.11456,188.25311600639998,23.029519235042823,23.19960076495718,0.08504076495717783,0.0,1.0,0.94276,0.053963582399999994,0.9413201857823045,0.9441998142176956,0.0014398142176955675,0.0,0.195,0.052312399999999995,0.00114800193124,0.052102396090058976,0.052522403909941014,0.00021000390994101864,0.0,79.0,21.17304,191.2975971584,21.087314341691435,21.258765658308565,0.08572565830856504,0.0,79.0,21.17304,191.2975971584,21.087314341691435,21.258765658308565,0.08572565830856504,0.0,1.0,0.18905,0.05288259750000001,0.1876246797322847,0.1904753202677153,0.001425320267715302,0.00124,0.001031470315881135,0.0014782668394836818
T-discounted_distance-W-20-HS-greedy-D-1-C-5-H-5-RUNS-100000.csv,discounted_distance,20,greedy,1,5,5,100000,2.0,84.0,23.08932,187.6993819376,23.004404398038318,23.174235601961684,0.0849156019616828,0.0,1.0,0.94437,0.0525353031,0.9429493676746289,0.9457906323253712,0.0014206323253711517,0.0,0.205,0.05226045,0.0011457226157975,0.05205065467114715,0.05247024532885285,0.0002097953288528534,0.0,83.0,21.14529,190.67378081589996,21.05970423036612,21.23087576963388,0.0855857696338802,0.0,83.0,21.14529,190.67378081589996,21.05970423036612,21.23087576963388,0.0855857696338802,0.0,1.0,0.24159,0.056163471900000005,0.24012113106898186,0.24305886893101813,0.0014688689310181358,0.00034,0.00023547101585525603,0.00047508382194100767
T-discounted_distance-W-20-HS-greedy-D-10-C-5-H-1-RUNS-100000.csv,discounted_distance,20,greedy,10,5,1,100000,1.0,88.0,31.20269,238.5175067639,31.106967021881673,31.29841297811833,0.09572297811832797,3.0,10.0,9.21673,0.8989581071000002,9.210853404502405,9.222606595497595,0.005876595497595005,0.0,0.21,0.073717225,0.0013984375507993748,0.07348544411866699,0.073949005881333,0.00023178088133300745,0.0,63.9,20.427495,108.06203232497501,20.363064331574193,20.491925668425807,0.06443066842580691,0.0,639.0,204.27495,10806.2032324975,203.63064331574193,204.91925668425804,0.6443066842580549,0.0,1.0,0.30334,0.2113248444,0.3004907447951315,0.3061892552048685,0.002849255204868506,0.30334,0.3004915335017061,0.3061998767083381
T-discounted_distance-W-20-HS-greedy-D-10-C-5-H-2-RUNS-100000.csv,discounted_distance,20,greedy,10,5,2,100000,2.0,85.0,35.73992,209.7249583936,35.65016035426959,35.82967964573041,0.0897596457304104,2.0,10.0,9.42626,0.7431224123999999,9.420916986749523,9.431603013250475,0.005343013250476147,0.0,0.21,0.083849075,0.001289444559144375,0.0836265097237683,0.0840716402762317,0.0002225652762316982,0.0,65.3,20.978260999999996,104.079201315879,20.915028835734088,21.041493164265905,0.06323216426590861,0.0,653.0,209.78261,10407.920131587902,209.1502883573409,210.4149316426591,0.6323216426590932,0.0,1.0,0.406835,0.082592782775,0.40505374079845624,0.40861625920154376,0.0017812592015437612,0.08938,0.08761870445470434,0.09116515346960227
T-discounted_distance-W-20-HS-greedy-D-10-C-5-H-3-RUNS-100000.csv,discounted_distance,20,greedy,10,5,3,100000,2.0,87.0,36.69477,211.13304464709998,36.604709536736905,36.78483046326309,0.09006046326309303,3.0,10.0,9.43855,0.7491438975,9.43318538333463,9.443914616665369,0.0053646166653695815,0.0,0.21,0.08600479999999999,0.0013091287519600002,0.08578054235768809,0.0862290576423119,0.0002242576423119036,0.0,68.5,21.113881,103.12260381783899,21.050940091615498,21.1768219083845,0.06294090838450117,0.0,685.0,211.13881,10312.2603817839,210.509400916155,211.76821908384503,0.6294090838450188,0.0,1.0,0.46884666666666663,0.06370724759999999,0.46728225699404197,0.4704110763392913,0.001564409672624667,0.03577,0.03462742093388716,0.03693960570663263
T-discounted_distance-W-20-HS-greedy-D-10-C-5-H-4-RUNS-100000.csv,discounted_distance,20,greedy,10,5,4,100000,2.0,86.0,37.01327,213.2755739071,36.92275373379765,37.10378626620235,0.09051626620234998,3.0,10.0,9.4413,0.7430943100000001,9.43595708777791,9.44664291222209,0.00534291222209049,0.0,0.2075,0.086739875,0.001326112897484375,0.08651416732828776,0.08696558267171223,0.00022570767171223305,0.0,69.4,21.144408,103.318396929536,21.081407368761532,21.207408631238465,0.06300063123846655,0.0,694.0,211.44408,10331.839692953601,210.81407368761538,212.07408631238465,0.6300063123846371,0.0,1.0,0.5170475,0.060878757743750005,0.5155182131212608,0.5185767868787392,0.001529286878739211,0.0141,0.013378360051082493,0.014850020853558197
T-discounted_distance-W-20-HS-greedy-D-10-C-5-H-5-RUNS-100000.csv,discounted_distance,20,greedy,10,5,5,100000,2.0,89.0,37.21679,215.7212720959,37.12575622391203,37.30782377608798,0.09103377608797558,3.0,10.0,9.44269,0.7497755638999999,9.437323122130813,9.448056877869188,0.005366877869187547,0.0,0.2175,0.087179725,0.001340630736424375,0.08695278520540575,0.08740666479459425,0.00022693979459424696,0.0,68.7,21.147912,103.367467840256,21.084896409512,21.210927590488,0.06301559048799987,0.0,687.0,211.47912,10336.7467840256,210.84896409512,212.10927590487998,0.6301559048799845,0.0,1.0,0.5589459999999999,0.058720569084,0.5574440647877051,0.5604479352122947,0.0015019352122948026,0.00247,0.0021718590004094224,0.002797555985547048
T-discounted_distance-W-20-HS-greedy-D-5-C-5-H-1-RUNS-100000.csv,discounted_distance,20,greedy,5,5,1,100000,1.0,86.0,29.3048,223.19819696000002,29.21220204141335,29.39739795858665,0.09259795858665143,0.0,5.0,4.60742,0.39982094360000003,4.60350087747457,4.611339122525431,0.003919122525430474,0.0,0.21,0.06838765000000001,0.0013338477024775,0.06816128504392603,0.06861401495607398,0.00022636495607397666,0.0,69.6,20.4426,116.44786124000002,20.375716062934394,20.509483937065603,0.06688393706560447,0.0,348.0,102.213,2911.1965309999996,101.87858031467196,102.54741968532802,0.33441968532802946,0.0,1.0,0.18061,0.14799002790000002,0.1782256374202302,0.18299436257976978,0.0023843625797697887,0.18061,0.17822996926035678,0.18300857012015465
